,calle,num,localidad,prov,cp,par,letra,bestmatch_difflib,bestmatch_fuzzywuzzy,cpa
10,areco,5801.0,Virrey del Pino,Provincia de Buenos Aires,3053,False,B,,,"['S3053AAA' 'S3053AAB' 'S3053AAC' 'S3053AAD' 'S3053AAE' 'S3053AAF'
 'S3053AAG' 'S3053AAH' 'S3053AAI' 'S3053AAJ' 'S3053AAK' 'S3053AAL'
 'S3053AAM' 'S3053AAN' 'S3053AAO' 'S3053AAP' 'S3053ABA' 'S3053ABB'
 'S3053ABC' 'S3053ABD' 'S3053ABE' 'S3053ABF' 'S3053ABG' 'S3053ABH'
 'S3053ABI' 'S3053ABJ' 'S3053ABK' 'S3053ABL' 'S3053ABM' 'S3053ABN'
 'S3053ABO' 'S3053ABP' 'S3053ACA' 'S3053ACB' 'S3053ACC' 'S3053ACD'
 'S3053ACE' 'S3053ACF' 'S3053ACG' 'S3053ACH' 'S3053ACI' 'S3053ACJ'
 'S3053ACK' 'S3053ACL' 'S3053ACM' 'S3053ACN' 'S3053ACO' 'S3053ACP'
 'S3053AFA' 'S3053AFB' 'S3053AFC' 'S3053AFD' 'S3053AFE' 'S3053AFF'
 'S3053AFG' 'S3053AFH' 'S3053AFI' 'S3053AFJ' 'S3053AFK' 'S3053AFL'
 'S3053AFM' 'S3053AFN' 'S3053AFO' 'S3053AFP' 'S3053ASA' 'S3053ASB'
 'S3053ASC' 'S3053ASD' 'S3053ASE' 'S3053ASF' 'S3053ASG' 'S3053ASH'
 'S3053ASI' 'S3053ASJ' 'S3053ASK' 'S3053ASL' 'S3053ASM' 'S3053ASN'
 'S3053AHA' 'S3053AHB' 'S3053AHC' 'S3053AHD' 'S3053AHE' 'S3053AHF'
 'S3053AHG' 'S3053AHH' 'S3053AIA' 'S3053AIB' 'S3053AIC' 'S3053AID'
 'S3053AJA' 'S3053AJB' 'S3053AJC' 'S3053AJD' 'S3053AJE' 'S3053AJF'
 'S3053AJG' 'S3053AJH' 'S3053AJI' 'S3053AJJ' 'S3053AJK' 'S3053AJL'
 'S3053AJM' 'S3053AJN' 'S3053AJO' 'S3053AJP' 'S3053AGA' 'S3053AGB'
 'S3053AGC' 'S3053AGD' 'S3053AGE' 'S3053AGF' 'S3053AGG' 'S3053AGH'
 'S3053AGI' 'S3053AGJ' 'S3053AGK' 'S3053AGL' 'S3053AGM' 'S3053AGN'
 'S3053AGO' 'S3053AGP' 'S3053AQA' 'S3053AQB' 'S3053AQC' 'S3053AQD'
 'S3053AQE' 'S3053AQF' 'S3053AQG' 'S3053AQH' 'S3053AQI' 'S3053AQJ'
 'S3053AQK' 'S3053AQL' 'S3053AQM' 'S3053AQN' 'S3053ALA' 'S3053ALB'
 'S3053ALC' 'S3053ALD' 'S3053ALE' 'S3053ALF' 'S3053ALG' 'S3053ALH'
 'S3053ALI' 'S3053ALJ' 'S3053ALK' 'S3053ALL' 'S3053ALM' 'S3053ALN'
 'S3053ALO' 'S3053ALP' 'S3053AKC' 'S3053AKD' 'S3053AKE' 'S3053AKF'
 'S3053AKG' 'S3053AKH' 'S3053AKI' 'S3053AKJ' 'S3053AKK' 'S3053AKL'
 'S3053AKM' 'S3053AKN' 'S3053ANA' 'S3053ANB' 'S3053ANC' 'S3053AND'
 'S3053ANE' 'S3053ANF' 'S3053ANG' 'S3053ANH' 'S3053ANI' 'S3053ANJ'
 'S3053ANK' 'S3053ANL' 'S3053ANM' 'S3053ANN' 'S3053ANQ' 'S3053ANR'
 'S3053AMA' 'S3053AMB' 'S3053AMC' 'S3053AMD' 'S3053AME' 'S3053AMF'
 'S3053AMG' 'S3053AMH' 'S3053AMI' 'S3053AMJ' 'S3053AMK' 'S3053AML'
 'S3053AMM' 'S3053AMN' 'S3053ADA' 'S3053ADN' 'S3053ADB' 'S3053ADO'
 'S3053ADC' 'S3053ADP' 'S3053ADD' 'S3053ADQ' 'S3053ADE' 'S3053ADR'
 'S3053ADF' 'S3053ADS' 'S3053ADG' 'S3053ADT' 'S3053ADH' 'S3053ADU'
 'S3053AEA' 'S3053AEN' 'S3053AEB' 'S3053AEO' 'S3053AEC' 'S3053AEP'
 'S3053AED' 'S3053AEQ' 'S3053AEE' 'S3053AER' 'S3053AEF' 'S3053AES'
 'S3053AEG' 'S3053AET' 'S3053AEH' 'S3053AEU' 'S3053AOA' 'S3053AOB'
 'S3053AOC' 'S3053AOD' 'S3053AOE' 'S3053AOF' 'S3053AOG' 'S3053AOH'
 'S3053AOI' 'S3053AOJ' 'S3053AOK' 'S3053AOL' 'S3053AOM' 'S3053AON'
 'S3053AOO' 'S3053AOP' 'S3053ATA' 'S3053ATB' 'S3053ATC' 'S3053ATD'
 'S3053ATE' 'S3053ATF' 'S3053APA' 'S3053APB' 'S3053APC' 'S3053APD'
 'S3053APE' 'S3053APF' 'S3053APG' 'S3053APH' 'S3053API' 'S3053APJ'
 'S3053APK' 'S3053APL' 'S3053APM' 'S3053APN' 'S3053APO' 'S3053APP'
 'S3053ARA' 'S3053ARB' 'S3053ARC' 'S3053ARD' 'S3053ARE' 'S3053ARF'
 'S3053ARG' 'S3053ARH' 'S3053ARI' 'S3053ARJ' 'S3053ARK' 'S3053ARL'
 'S3053ARM' 'S3053ARN' 'S3053ARO' 'S3053ARP']"
11,avenida 53,304.0,La Plata,Provincia de Buenos Aires,1900,True,B,avenida av 53,avenida av 53,['B1900BAT']
12,lisandro de la torre,,Villa Trinidad,Santa Fe,2345,False,S,,,"['S2345XAA' 'S2345XAB' 'S2345AAA' 'S2345AAB' 'S2345AAC' 'S2345AAD'
 'S2345AAE' 'S2345AAF' 'S2345AAG' 'S2345AAH' 'S2345AAI' 'S2345AAJ'
 'S2345AAK' 'S2345AAL' 'S2345AAM' 'S2345AAN' 'S2345AAO' 'S2345AAP'
 'S2345ABA' 'S2345ABB' 'S2345ABC' 'S2345ABD' 'S2345ABE' 'S2345ABF'
 'S2345ABG' 'S2345ABH' 'S2345ABI' 'S2345ABJ' 'S2345ABK' 'S2345ABL'
 'S2345ACA' 'S2345ACB' 'S2345AIA' 'S2345AIB' 'S2345AIC' 'S2345AID'
 'S2345AIE' 'S2345AIF' 'S2345AIG' 'S2345AIH' 'S2345AII' 'S2345AIJ'
 'S2345AIK' 'S2345AIL' 'S2345AIM' 'S2345AIN' 'S2345AIO' 'S2345AIP'
 'S2345AYA' 'S2345AYB' 'S2345AGA' 'S2345AGB' 'S2345AFA' 'S2345AFB'
 'S2345AHA' 'S2345AHB' 'S2345AHC' 'S2345AHD' 'S2345AHE' 'S2345AHF'
 'S2345AHG' 'S2345AHH' 'S2345AHI' 'S2345AHJ' 'S2345AHK' 'S2345AHL'
 'S2345AHM' 'S2345AHN' 'S2345AHO' 'S2345AHP' 'S2345AOA' 'S2345AOB'
 'S2345AOC' 'S2345AOD' 'S2345AOE' 'S2345AOF' 'S2345AOG' 'S2345AOH'
 'S2345AOI' 'S2345AOJ' 'S2345AOK' 'S2345AOL' 'S2345AOM' 'S2345AON'
 'S2345AOO' 'S2345AOP' 'S2345AOQ' 'S2345AOR' 'S2345AJA' 'S2345AJB'
 'S2345ARA' 'S2345ARB' 'S2345ARC' 'S2345ARD' 'S2345ARE' 'S2345ARF'
 'S2345ARG' 'S2345ARH' 'S2345ARI' 'S2345ARJ' 'S2345ARK' 'S2345ARL'
 'S2345ARM' 'S2345ARN' 'S2345ARO' 'S2345ARP' 'S2345AKC' 'S2345AKD'
 'S2345AKE' 'S2345AKF' 'S2345AKG' 'S2345AKH' 'S2345AKI' 'S2345AKJ'
 'S2345AKK' 'S2345AKL' 'S2345AKM' 'S2345AKN' 'S2345AKO' 'S2345AKP'
 'S2345AKQ' 'S2345AKR' 'S2345ADA' 'S2345ADB' 'S2345ADC' 'S2345ADD'
 'S2345ADE' 'S2345ADF' 'S2345ADG' 'S2345ADH' 'S2345ADI' 'S2345ADJ'
 'S2345ADK' 'S2345ADL' 'S2345ADM' 'S2345ADN' 'S2345ADO' 'S2345ADP'
 'S2345ASA' 'S2345ASB' 'S2345ASC' 'S2345ASD' 'S2345ASE' 'S2345ASF'
 'S2345ASG' 'S2345ASH' 'S2345ASI' 'S2345ASJ' 'S2345ASK' 'S2345ASL'
 'S2345ASM' 'S2345ASN' 'S2345ASO' 'S2345ASP' 'S2345ASQ' 'S2345ASR'
 'S2345ASS' 'S2345AST' 'S2345AEA' 'S2345AEB' 'S2345AEC' 'S2345AED'
 'S2345AEE' 'S2345AEF' 'S2345AEG' 'S2345AEH' 'S2345AEI' 'S2345AEJ'
 'S2345AEK' 'S2345AEL' 'S2345AEM' 'S2345AEN' 'S2345AEO' 'S2345AEP'
 'S2345AEQ' 'S2345AER' 'S2345ALA' 'S2345ALB' 'S2345ALC' 'S2345ALD'
 'S2345ALE' 'S2345ALF' 'S2345ALG' 'S2345ALH' 'S2345ALI' 'S2345ALJ'
 'S2345ALK' 'S2345ALL' 'S2345ALM' 'S2345ALN' 'S2345ALO' 'S2345ALP'
 'S2345AVA' 'S2345AVB' 'S2345AMA' 'S2345AMB' 'S2345AXA' 'S2345AXB'
 'S2345AXC' 'S2345AXD' 'S2345APA' 'S2345APB' 'S2345APC' 'S2345APD'
 'S2345APE' 'S2345APF' 'S2345APG' 'S2345APH' 'S2345API' 'S2345APJ'
 'S2345APK' 'S2345APL' 'S2345APM' 'S2345APN' 'S2345AQA' 'S2345AQB'
 'S2345AQC' 'S2345AQD' 'S2345AQE' 'S2345AQF' 'S2345AQG' 'S2345AQH'
 'S2345AQI' 'S2345AQJ' 'S2345AQK' 'S2345AQL' 'S2345AQM' 'S2345AQN'
 'S2345AQO' 'S2345AQP' 'S2345AQQ' 'S2345AQR' 'S2345AQS' 'S2345AQT'
 'S2345ATA' 'S2345ATB' 'S2345ATC' 'S2345ATD' 'S2345ATE' 'S2345ATF'
 'S2345ATG' 'S2345ATH' 'S2345ATI' 'S2345ATJ' 'S2345ATK' 'S2345ATL'
 'S2345ATM' 'S2345ATN' 'S2345ATO' 'S2345ATP' 'S2345ATQ' 'S2345ATR'
 'S2345AZA' 'S2345AWA' 'S2345AWB' 'S2345AUA' 'S2345AUB' 'S2345AUC'
 'S2345AUD' 'S2345AUE' 'S2345AUF' 'S2345AUG' 'S2345AUH' 'S2345AUI'
 'S2345AUJ' 'S2345AUK' 'S2345AUL' 'S2345AUM' 'S2345AUN' 'S2345AUO'
 'S2345AUP' 'S2345ANA' 'S2345ANB' 'S2345ANC' 'S2345AND' 'S2345ANE'
 'S2345ANF' 'S2345ANG' 'S2345ANH' 'S2345ANI' 'S2345ANJ' 'S2345ANK'
 'S2345ANL' 'S2345ANM' 'S2345ANN']"
13,javier lopez,1283.0,Córdoba,Córdoba,5009,False,X,calle carlos tagle,,['X5009LAA' 'X5009LAB' 'X5009LAC' ... 'X5009LXB' 'X5009LXA' 'X5009LXB']
14,san martin,51.0,Agua de Oro,Córdoba,5107,False,X,avenida argentina,,['X5107XAG' 'X5107XAE' 'X5107XAD' ... 'X5108DPF' 'X5108DPG' 'X5108DPH']
15,barrio belgrano mza95 casa 15,,Puerto Piray,Misiones,3381,False,N,calle bernardino rivadavia,,"['N3381BQA' 'N3381CJA' 'N3381BTA' 'N3381BYA' 'N3381CGA' 'N3381ABA'
 'N3381ACA' 'N3381ADA' 'N3381AEA' 'N3381AFA' 'N3381AGA' 'N3381AHA'
 'N3381AIA' 'N3381AJA' 'N3381AKA' 'N3381ALA' 'N3381AMA' 'N3381ANA'
 'N3381AOA' 'N3381APA' 'N3381AQA' 'N3381ARA' 'N3381ASA' 'N3381ATA'
 'N3381AUA' 'N3381AVA' 'N3381AWA' 'N3381AXA' 'N3381AYA' 'N3381AZA'
 'N3381BAA' 'N3381BBA' 'N3381BCA' 'N3381BVA' 'N3381BEA' 'N3381BRA'
 'N3381BSA' 'N3381BIA' 'N3381BLA' 'N3381CMA' 'N3381CKA' 'N3381CFA'
 'N3381BGA' 'N3381BHA' 'N3381CKA' 'N3381BDA' 'N3381BMA' 'N3381BJA'
 'N3381AAA' 'N3381CBA' 'N3381CAA' 'N3381BPA' 'N3381BOA' 'N3381BKA'
 'N3381CIA' 'N3381CHA' 'N3381CEA' 'N3381BFA' 'N3381CLA' 'N3381CNA'
 'N3381CLA' 'N3381CNA' 'N3381BUA' 'N3381BWA' 'N3381BNA' 'N3381CDA'
 'N3381CCA' 'N3381BZA' 'N3381BXA']"
16,humberto 1º,2126.0,Córdoba,Córdoba,5000,True,X,calle humberto primo,calle san humberto,['X5008KVA' 'X5008KVB' 'X5008KVC' ... 'X5012LNH' 'X5012LNI' 'X5012LNJ']
17,avenida mozart,873.0,Quilmes,Provincia de Buenos Aires,1878,False,B,avenida mozart,avenida mozart,['B1878HJI']
18,aman rawson sur,207.0,Villa Krause,San Juan,5425,False,J,calle aman rawson,calle aman rawson,['J5425AOE']
19,chubut,3600.0,Yerba Buena,Tucumán,4107,True,T,,,"['T4107XAE' 'T4107XAF' 'T4107XAG' 'T4107XAH' 'T4107XAK' 'T4107XAI'
 'T4107XAC' 'T4107XAD' 'T4107XAJ' 'T4107XAL' 'T4107XAM' 'T4107XAB']"
