,calle,num,localidad,prov,cp,par,letra,bestmatch_difflib,bestmatch_fuzzywuzzy,cpa
178,calle 839,357.0,Villa la Florida,Provincia de Buenos Aires,1881,False,B,calle 839,calle 839,['B1855BFA']
179,buenos aires,1440.0,Cipolletti,Río Negro,8324,True,R,calle los nires,,['R8324XAC' 'R8324XAA' 'R8324XAB' ... 'R8325BSP' 'R8325BSQ' 'R8325BSR']
180,dean funes,1749.0,La Tablada,Provincia de Buenos Aires,1751,False,B,,,['B2701XAA' 'B7313XAA' 'B2705XAB' ... 'B2805VAA' 'B2805VAE' 'B2805VAD']
181,avenida 24 de septiembre,1529.0,Córdoba,Córdoba,5004,False,X,,,['X5004FTA' 'X5004FTB' 'X5004FTC' ... 'X5004CYJ' 'X5004CYK' 'X5004CYL']
182,norma gladys monardi,,Villa Mercedes,San Luis,5730,False,D,calle lamadrid,,['D5730XAO' 'D5730XAH' 'D5730XBK' ... 'D5732IQL' 'D5732IRA' 'D5732IRB']
183,maimara,,San Salvador de Jujuy,Jujuy,4600,False,Y,calle maimara,calle maimara,['Y4600XBH' 'Y4600XAA' 'Y4600XBI' ... 'Y4604GMN' 'Y4604GMO' 'Y4604GMP']
184,11 de abril,547.0,Bahía Blanca,Provincia de Buenos Aires,8000,False,B,calle 11 de abril,calle 11 de abril,['B8000LMK']
185,el ceibo,,Los talas,Buenos Aires,1437,False,C,pasaje el ceibo,pasaje el ceibo,['C1437HKA' 'C1437HKB' 'C1437HKC' ... 'C1437GED' 'C1437GEE' 'C1437GEF']
186,sanchez de loria,1283.0,Comuna 5,Buenos Aires,1220,False,C,calle sanchez de loria,calle sanchez de loria,['C1220ADM']
187,avenida olazabal,3248.0,DIO,Buenos Aires,1428,True,C,avenida felix de olazabal,avenida felix de olazabal,['C1428DIO']
188,martinelli ,,Puerto madryn,Chubut,9120,False,U,calle martin fierro,,['U9120XAC' 'U9120XAD' 'U9120XAA' ... 'U9120DKB' 'U9120DKC' 'U9120DKD']
189,fray lamas,,Villa Sarmiento,Provincia de Buenos Aires,1407,False,B,calle camarones,,['C1407IYA' 'C1407IYB' 'C1407IYC' ... 'C1407GXL' 'C1407GXM' 'C1407GXN']
190,lope de vega,1564.0,Ingeniero Budge,Provincia de Buenos Aires,1828,True,B,calle lope de vega,calle lope de vega,['B1828EGF']
191,laprida,169.0,Monteros,Tucumán,4142,False,T,calle laprida,calle laprida,['T4142CGC']
192,holmberg,414.0,Tandil,Provincia de Buenos Aires,7000,True,B,calle holmberg,calle holmberg,['B7001AVB']
193,elias alippi,620.0,Mariano Acosta,Provincia de Buenos Aires,1723,True,B,calle elias alippi,calle elias alippi,['B1723INF']
194,nicolas videla,336.0,Quilmes,Provincia de Buenos Aires,1878,True,B,calle nicolas e videla,calle nicolas e videla,['B1878KOH']
195,sargento cabral,4701.0,Barranqueras,Chaco,3503,False,H,calle sgto juan b cabral,calle sgto juan b cabral,['H3503LOK']
196,federico garcia lorca,,Torres,Provincia de Buenos Aires,6703,False,B,calle garcia lorca,calle garcia lorca,"['B6703XAB' 'B6703XAA' 'B6703XAC' 'B6703XAD' 'B6703AAA' 'B6703AAB'
 'B6703AAC' 'B6703AAD' 'B6703AAE' 'B6703AAF' 'B6703ABA' 'B6703ABB'
 'B6703ABC' 'B6703ABD' 'B6703ABE' 'B6703ABF' 'B6703AHA' 'B6703AHN'
 'B6703AHB' 'B6703AHO' 'B6703AHC' 'B6703AHP' 'B6703AHD' 'B6703AHQ'
 'B6703AHE' 'B6703AHR' 'B6703AHF' 'B6703AHS' 'B6703AHG' 'B6703AHT'
 'B6703AHH' 'B6703AHU' 'B6703AHI' 'B6703AHV' 'B6703AIA' 'B6703AIN'
 'B6703AIB' 'B6703AIO' 'B6703AIC' 'B6703AIP' 'B6703AID' 'B6703AIQ'
 'B6703AIE' 'B6703AIR' 'B6703AIF' 'B6703AIS' 'B6703AIG' 'B6703AIT'
 'B6703ACA' 'B6703ACB' 'B6703ACC' 'B6703ACD' 'B6703ACE' 'B6703ACF'
 'B6703ADA' 'B6703ADB' 'B6703ADC' 'B6703ADD' 'B6703ADE' 'B6703ADF'
 'B6703ADG' 'B6703ADH' 'B6703ADI' 'B6703ADJ' 'B6703ADK' 'B6703ADL'
 'B6703AEA' 'B6703AEB' 'B6703AFA' 'B6703AFB' 'B6703AFC' 'B6703AFD'
 'B6703AFE' 'B6703AFF' 'B6703AFG' 'B6703AFH' 'B6703AFI' 'B6703AFJ'
 'B6703AGA' 'B6703AGB' 'B6703AGC' 'B6703AGD' 'B6703AGE' 'B6703AGF'
 'B6703AGG' 'B6703AGH' 'B6703AGI' 'B6703AGJ' 'B6703AGK' 'B6703AGL'
 'B6703AGM' 'B6703AGN' 'B6703AJA' 'B6703AJB' 'B6703AJC' 'B6703AJD'
 'B6703AJE' 'B6703AJF' 'B6703AJG' 'B6703AJH' 'B6703AJI' 'B6703AJJ'
 'B6703AJK' 'B6703AJL' 'B6703AKC' 'B6703AKD' 'B6703AKE' 'B6703AKF'
 'B6703AKG' 'B6703AKH' 'B6703AKI' 'B6703AKJ' 'B6703AKK' 'B6703AKL'
 'B6703AKM' 'B6703AKN' 'B6703AKO' 'B6703AKP' 'B6703ALA' 'B6703ALB'
 'B6703ALC' 'B6703ALD' 'B6703ALE' 'B6703ALF' 'B6703ALG' 'B6703ALH'
 'B6703ALI' 'B6703ALJ' 'B6703ALK' 'B6703ALL' 'B6703ALM' 'B6703ALN'
 'B6703ANA' 'B6703ANB' 'B6703ANC' 'B6703AND' 'B6703ANE' 'B6703ANF'
 'B6703ANG' 'B6703ANH' 'B6703ANI' 'B6703ANJ' 'B6703ANK' 'B6703ANL'
 'B6703ANM' 'B6703ANN' 'B6703ANQ' 'B6703ANR' 'B6703ANS' 'B6703ANT'
 'B6703APA' 'B6703APB' 'B6703APC' 'B6703APD' 'B6703APE' 'B6703APF'
 'B6703APG' 'B6703APH' 'B6703API' 'B6703APJ' 'B6703APK' 'B6703APL'
 'B6703BIA' 'B6703BIB' 'B6703BIC' 'B6703BID' 'B6703BIE' 'B6703BIF'
 'B6703BIG' 'B6703BIH' 'B6703BII' 'B6703BIJ' 'B6703BIK' 'B6703BIL'
 'B6703BIM' 'B6703BIN' 'B6703BIO' 'B6703BIP' 'B6703BIQ' 'B6703BIR'
 'B6703AQA' 'B6703AQB' 'B6703AQC' 'B6703AQD' 'B6703AQE' 'B6703AQF'
 'B6703AQG' 'B6703AQH' 'B6703AQI' 'B6703AQJ' 'B6703AQK' 'B6703AQL'
 'B6703AQM' 'B6703AQN' 'B6703AQO' 'B6703AQP' 'B6703ARA' 'B6703ARB'
 'B6703ARC' 'B6703ARD' 'B6703ARE' 'B6703ARF' 'B6703ASA' 'B6703ASB'
 'B6703ASC' 'B6703ASD' 'B6703ASE' 'B6703ASF' 'B6703ASG' 'B6703ASH'
 'B6703ASI' 'B6703ASJ' 'B6703ASK' 'B6703ASL' 'B6703ASM' 'B6703ASN'
 'B6703ATA' 'B6703ATB' 'B6703ATC' 'B6703ATD' 'B6703ATE' 'B6703ATF'
 'B6703AUA' 'B6703AUB' 'B6703AUC' 'B6703AUD' 'B6703AUE' 'B6703AUF'
 'B6703AVA' 'B6703AVB' 'B6703AVC' 'B6703AVD' 'B6703AVE' 'B6703AVF'
 'B6703AVG' 'B6703AVH' 'B6703AVI' 'B6703AVJ' 'B6703AVK' 'B6703AVL'
 'B6703AVM' 'B6703AVN' 'B6703BEA' 'B6703BEB' 'B6703BEC' 'B6703BED'
 'B6703AWA' 'B6703AWB' 'B6703AWC' 'B6703AWD' 'B6703AWE' 'B6703AWF'
 'B6703AYA' 'B6703AYB' 'B6703AYC' 'B6703AYD' 'B6703AYE' 'B6703AYF'
 'B6703BLA' 'B6703BLB' 'B6703BLC' 'B6703BLD' 'B6703BLE' 'B6703BLF'
 'B6703BLG' 'B6703BLH' 'B6703BLI' 'B6703BLJ' 'B6703BLK' 'B6703BLL'
 'B6703BLM' 'B6703BLN' 'B6703AXA' 'B6703AXB' 'B6703AXC' 'B6703AXD'
 'B6703AXE' 'B6703AXF' 'B6703AXG' 'B6703AXH' 'B6703AXI' 'B6703AXJ'
 'B6703AXK' 'B6703AXL' 'B6703AXM' 'B6703AXN' 'B6703AXO' 'B6703AXP'
 'B6703AZA' 'B6703AZB' 'B6703AZC' 'B6703AZD' 'B6703AZE' 'B6703AZF'
 'B6703BBA' 'B6703BBB' 'B6703BBC' 'B6703BBD' 'B6703BBE' 'B6703BBF'
 'B6703BAA' 'B6703BAB' 'B6703BAC' 'B6703BAD' 'B6703BAE' 'B6703BAF'
 'B6703BAG' 'B6703BAH' 'B6703BAI' 'B6703BAJ' 'B6703BAK' 'B6703BAL'
 'B6703BAM' 'B6703BAN' 'B6703BCA' 'B6703BCB' 'B6703BCC' 'B6703BCD'
 'B6703BCE' 'B6703BCF' 'B6703BDA' 'B6703BDB' 'B6703BDC' 'B6703BDD'
 'B6703BDE' 'B6703BDF' 'B6703AMA' 'B6703AMB' 'B6703BFA' 'B6703BFB'
 'B6703BGA' 'B6703BGB' 'B6703BHA' 'B6703BHN' 'B6703BHB' 'B6703BHO'
 'B6703BHC' 'B6703BHP' 'B6703BHD' 'B6703BHQ' 'B6703BHE' 'B6703BHR'
 'B6703BHF' 'B6703BHS' 'B6703BJA' 'B6703BJB' 'B6703BJC' 'B6703BJD'
 'B6703BJE' 'B6703BJF' 'B6703BJG' 'B6703BJH' 'B6703BJI' 'B6703BJJ'
 'B6703BJK' 'B6703BJL' 'B6703BJM' 'B6703BJN' 'B6703AOA' 'B6703AOB'
 'B6703AOC' 'B6703AOD' 'B6703AOE' 'B6703AOF' 'B6703BKA' 'B6703BKB'
 'B6703BKC' 'B6703BKD' 'B6703BKE' 'B6703BKF']"
197,san lorenzo,2739.0,Lanús,Provincia de Buenos Aires,1825,False,B,calle cazon,,['B1825AKC' 'B1825AKD' 'B1825AKE' ... 'B1825FJB' 'B1825FJC' 'B1825FJD']
198,25 de mayo,930.0,Perito Moreno,Santa Cruz,9040,True,Z,calle 25 de mayo,calle 25 de mayo,['Z9015ADT' 'Z9050ACH' 'Z9310ABD' 'Z9300AAT']
199,sarmiento,837.0,EBC,Provincia de Buenos Aires,1646,False,B,calle domingo f sarmiento,,['B1646CZA' 'B1646CZN' 'B1646CZB' ... 'B1645AIL' 'B1645BZA' 'B1645BZB']
200,pedro de mendoza,33.0,Tristán Suárez,Provincia de Buenos Aires,1806,False,B,calle mendoza,calle rio mendoza,['B8153CXA']
201,avenida montes de oca,817.0,Comuna 4,Buenos Aires,1287,False,C,,,"['C1287AAA' 'C1287AAB' 'C1287AAC' 'C1287AAD' 'C1287AAE' 'C1287AAF'
 'C1287AAG' 'C1287AAH' 'C1287AAI' 'C1287AAJ' 'C1287AAK' 'C1287AAL'
 'C1287AAM' 'C1287AAN' 'C1287AAO' 'C1287AAP' 'C1287AAQ' 'C1287AAR'
 'C1287ABA' 'C1287ABB' 'C1287ABC' 'C1287ABD' 'C1287ABE' 'C1287ABF'
 'C1287ABG' 'C1287ABH' 'C1287ABI' 'C1287ABJ' 'C1287ABK' 'C1287ABL'
 'C1287ABM' 'C1287ABN' 'C1287ABO' 'C1287ABP' 'C1287ACA' 'C1287ACB'
 'C1287ACC' 'C1287ACD' 'C1287ACE' 'C1287ACF' 'C1287ACG' 'C1287ACH'
 'C1287ACI' 'C1287ACJ']"
202,mariano moreno ,297.0,Bella Vista,Tucumán,4168,False,T,calle dr mariano moreno,calle dr mariano moreno,['T4168CFE']
203,mariano larrazabal,5665.0,Córdoba,Córdoba,5014,False,X,calle fray de lizarraga,,['X5014MFA' 'X5014MFB' 'X5014MFC' ... 'X5014IMF' 'X5014IMG' 'X5014IMH']
204,italia,444.0,Rosario,Santa Fe,2000,True,S,calle italia,calle italia,['S2000DEJ']
205,rojas,470.0,Comuna 6,Buenos Aires,1405,True,C,calle rojas,calle rojas,['C1405ABF']
206,billinghurst,1318.0,DTB,Buenos Aires,1425,True,C,calle billinghurst,calle billinghurst,['C1425DTB']
207,uspallata,423.0,Roldán ,Santa Fe,2134,False,S,calle salta,,['S2134AAA' 'S2134AAB' 'S2134AAC' ... 'S2134DDV' 'S2134DDW' 'S2134DDX']
208,rosendo velarte,1551.0,La Rioja,La Rioja,5300,False,F,calle rodolfo villacorta,,['F5300XAF' 'F5300XBK' 'F5300XBJ' ... 'F5300AQB' 'F5300AQC' 'F5300AQD']
209,las heras,4133.0,Corrientes,Corrientes,3402,False,W,calle isla hernandez,,['W3402FUA' 'W3402FUB' 'W3402FXA' ... 'W3402FSL' 'W3402FSM' 'W3402FSN']
210,fortin yunca,675.0,Virrey del Pino,Provincia de Buenos Aires,1763,False,B,calle yunca,,['B1763DEA' 'B1763DEB' 'B1763DEC' ... 'B1764KUH' 'B1764KUI' 'B1764KUJ']
211,libertad,854.0,Lobos,Provincia de Buenos Aires,7240,True,B,calle libertad,calle libertad,['B7240HYJ']
212,ugarteche,579.0,Rosario,Santa Fe,2000,False,S,calle f ugarteche bis,,['E2000XAA' 'S2000XAA' 'S2000CAA' ... 'S2008AYF' 'S2008AYG' 'S2008AYH']
213,9 n4759,487.0,Gonnet,Provincia de Buenos Aires,1897,False,B,calle 479,,['B1897KJA' 'B1897KJB' 'B1897KJC' ... 'B1897EDF' 'B1897EDG' 'B1897EDH']
214,federico lacroze,1147.0,Don Torcuato,Provincia de Buenos Aires,1611,False,B,calle lacroze,calle lacroze,['B1611DWW']
215,calle mina capillitas,720.0,Palpalá,Jujuy,4612,True,Y,,,"['Y4612XAR' 'Y4612XAS' 'Y4612XAT' 'Y4612XAU' 'Y4612XAV' 'Y4612XAW'
 'Y4612XAX' 'Y4612XAL' 'Y4612XAH' 'Y4612XAM' 'Y4612XAN' 'Y4612XAO'
 'Y4612XAP' 'Y4612XAQ' 'Y4612XAI' 'Y4612XAJ' 'Y4612XAK']"
216,granaderos y colectividad espanol,,Rivadavia,San Juan,5400,False,J,calle granaderos norte,,['J5400XAA' 'J5400XAG' 'J5400XAB' ... 'J5410ALF' 'J5410ALG' 'J5410ALH']
217,calle 133,286.0,San Carlos,Provincia de Buenos Aires,1900,True,B,calle 133,calle 133,"['B1908AMF' 'B1908AKN' 'B1908AMF' 'B1908AKN' 'B1908AMF' 'B1908AKN'
 'B1908AMF' 'B1908AKN']"
218,constancio vigil,73.0,San Miguel,Provincia de Buenos Aires,1663,False,B,calle constancio c vigil,calle constancio c vigil,['B1663DGA']
219,isaac annan ,763.0,Pergamino,Buenos Aires,2700,False,C,calle isaac elias annan,calle isaac elias annan,['B2702BCG']
220,bolivar,3259.0,Mar del Plata,Provincia de Buenos Aires,7600,False,B,calle bolivia,,['B7600XAD' 'B7600XAE' 'B7600XAJ' ... 'B7611DHL' 'B7611DHM' 'B7611DHN']
221,virrey del pino,2246.0,Comuna 13,Buenos Aires,1426,True,C,calle virrey joaquin del pino,calle virrey joaquin del pino,['C1426EGN']
222,coronel rosales,534.0,Los Troncos del Talar,Provincia de Buenos Aires,1608,True,B,rio reconquista,,['B1608BRA' 'B1608BRB' 'B1608BRC' ... 'B1608AXP' 'B1608AXQ' 'B1608AXR']
223,avenida puerta del sol,,Puerta de Corral Quemado,Catamarca,4751,False,K,avenida juan chelemin,,"['K4751XAF' 'K4751XAD' 'K4751XAA' 'K4751XAB' 'K4751XAG' 'K4751XAE'
 'K4751XAL' 'K4751XAJ' 'K4751XAC' 'K4751XAM' 'K4751XAK' 'K4751AAA'
 'K4751ACA' 'K4751ABA' 'K4751ADA' 'K4751AEA' 'K4748AAA' 'K4748AAB'
 'K4748AAC' 'K4748AAD' 'K4748AAE' 'K4748AAF' 'K4748AAG' 'K4748AAH'
 'K4748ABA' 'K4748ABN' 'K4748ABB' 'K4748ABO' 'K4748ABC' 'K4748ABP'
 'K4748ABD' 'K4748ABQ' 'K4748ABE' 'K4748ABR' 'K4748ABF' 'K4748ABS'
 'K4748ABG' 'K4748ABT' 'K4748ABH' 'K4748ABU' 'K4748ABI' 'K4748ABV'
 'K4748ABJ' 'K4748ABW' 'K4748ABK' 'K4748ABX' 'K4748ABL' 'K4748ABY'
 'K4748ACA' 'K4748ACN' 'K4748ACB' 'K4748ACO' 'K4748ACC' 'K4748ACP'
 'K4748ACD' 'K4748ACQ' 'K4748ACE' 'K4748ACR' 'K4748ACF' 'K4748ACS'
 'K4748ACG' 'K4748ACT' 'K4748ACH' 'K4748ACU' 'K4748ACI' 'K4748ACV'
 'K4748ACJ' 'K4748ACW' 'K4748ACK' 'K4748ACX' 'K4748ACL' 'K4748ACY'
 'K4748ACM' 'K4748ACZ' 'K4748ADA' 'K4748ADN' 'K4748ADB' 'K4748ADO'
 'K4748ADC' 'K4748ADP' 'K4748ADD' 'K4748ADQ' 'K4748ADE' 'K4748ADR'
 'K4748ADF' 'K4748ADS' 'K4748ADG' 'K4748ADT' 'K4755ABA' 'K4755ABN'
 'K4755ABB' 'K4755ABO' 'K4755ABC' 'K4755ABP' 'K4755ABD' 'K4755ABQ'
 'K4755ABE' 'K4755ABR' 'K4755ABF' 'K4755ABS' 'K4755ABG' 'K4755ABT'
 'K4755ABH' 'K4755ABU' 'K4755ABI' 'K4755ABV' 'K4755ABJ' 'K4755ABW'
 'K4755ABK' 'K4755ABX' 'K4755ABL' 'K4755ABY' 'K4755ABM' 'K4755ABZ'
 'K4755ACA' 'K4755ACN' 'K4755ACB' 'K4755ACO' 'K4755ACC' 'K4755ACP'
 'K4755ACD' 'K4755ACQ' 'K4755ACE' 'K4755ACR' 'K4755ACF' 'K4755ACS'
 'K4755ACG' 'K4755ACT' 'K4755ABA' 'K4755ABN' 'K4755ABB' 'K4755ABO'
 'K4755ABC' 'K4755ABP' 'K4755ABD' 'K4755ABQ' 'K4755ABE' 'K4755ABR'
 'K4755ABF' 'K4755ABS' 'K4755ABG' 'K4755ABT' 'K4755ABH' 'K4755ABU'
 'K4755ABI' 'K4755ABV' 'K4755ABJ' 'K4755ABW' 'K4755ABK' 'K4755ABX'
 'K4755ABL' 'K4755ABY' 'K4755ABM' 'K4755ABZ' 'K4755ACA' 'K4755ACN'
 'K4755ACB' 'K4755ACO' 'K4755ACC' 'K4755ACP' 'K4755ACD' 'K4755ACQ'
 'K4755ACE' 'K4755ACR' 'K4755ACF' 'K4755ACS' 'K4755ACG' 'K4755ACT']"
